smiles,d,FEPA,FEHA,b_idx,n_idx
B(c1c(F)cc(F)cc1(F))(c1c(F)cc(F)cc1(F))C(c1c(N)cccc1)=C(c1ccccc1([Si](C)(C)C))N1(C(C(=O)[OH])Cc2ccccc21),2.948802938,-204.7302919,-91.85960257,0,22
B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1(Cl))(c1c(Cl)c(Cl)c(Cl)c(Cl)c1(Cl))C2N=C(c8ccc(C)cc8)C(C12)=C(Cl)CN1(CCCCC),2.575029611,-223.7519502,-110.1692518,0,24
B(c1ccc(C)s1)(c1ccc(C)s1)c2c(S(=[O])(=[O])[O]CC)ccc(c23)ccc(c13)ccc(S(=[O])(=[O])[O]CC)c1N1(CCCN2CCCCCC12),3.144492178,-212.4047867,-83.05855511,0,39
B(c1cc(Cl)cc(Cl)c1)(c1cc(Cl)cc(Cl)c1)N1C(c8ccc(C)cc8)COC(CC(C)(C)C)N1(c4ccc([N+](=O)([O-]))cc4),2.5544011,-182.3482551,-97.52563326,0,34
B(c1cc(Cl)ccc1)(c1cc(Cl)ccc1)N1C(S(=[O])(=[O])[O]CC)CC(F)N1(c7c(C)cc(C)cc7(C)),2.614852596,-202.3111363,-91.4405966,0,26
B(c1c(Cl)cc(Cl)cc1(Cl))(c1c(Cl)cc(Cl)cc1(Cl))N2C(CCCC)CCN(CCC1(C(F)(F)F))C2C1N(C=CC(C)C)(C=CC(C)C),3.307807227,-208.6486349,-86.85120797,0,27
B(CC)(CC)N2C(Cl)CCN(CCC1(CCCC))C2C1n1(C(C)(C)CCc2ccccc12),3.538835235,-217.5571409,-69.05164393,0,20
B1(ccocc1)c1c(N)cc(CC(C)(C)C)N1(c3cc(N(C)C)ccc3),2.665167953,-203.3786555,-55.80176346,0,16
B(c1ccc(Br)cc1)(c1ccc(Br)cc1)C(c7ccc(N(C)C)cc7)C1CCCC(c8c(F)cc(F)cc8(F))N1(CCN(C)C),3.281629511,-221.7922824,-96.70871393,0,39
B(c1c(Br)cccc1(Br))(c1c(Br)cccc1(Br))c1c(C(C)C)cc2ccccc2c1c3c4ccccc4cc(CC)c3N1(CCCCC1),4.350363678,-223.6522954,-96.88721429,0,42
